feature_id,location_id,date,dengue_lag_1,dengue_lag_2,dengue_lag_4,dengue_rolling_4,malaria_lag_1,malaria_lag_4,rainfall_1,rainfall_2,rainfall_4,rainfall_8,temperature_1,temperature_2,temperature_4,rainfall_anomaly,temperature_anomaly,outbreak_target,population,urban_density,sanitation_index,municipality,state_name
133,139,2025-09-01,,,,2,1,2,77.58282111672794,127.04707605698529,,,26.002927150974074,25.420667613636397,,0.0,0.0,0,87178,8.785905207588518,0.46735083786067283,Tartarugalzinho,Amapá
134,139,2025-10-01,,,,2,2,2,21.390739889705884,77.58282111672794,,,27.680839082792204,26.002927150974074,,0.0,0.0,0,87178,8.785905207588518,0.46735083786067283,Tartarugalzinho,Amapá
135,139,2025-11-01,,,,5,2,3,11.495763442095589,21.390739889705884,,,28.28668831168835,27.680839082792204,,0.0,0.0,0,87178,8.785905207588518,0.46735083786067283,Tartarugalzinho,Amapá
136,139,2025-12-01,,,,6,5,1,62.03451717601103,11.495763442095589,,,28.14852374188314,28.28668831168835,,0.0,0.0,1,87178,8.785905207588518,0.46735083786067283,Tartarugalzinho,Amapá
137,141,2025-03-01,,,,48,53,1,258.75321237664474,314.8290501644737,,,25.593216849662213,26.230595439189187,,0.0,0.0,0,3985,13.392417547795517,0.27069811951931033,Alvarães,Amazonas
138,141,2025-04-01,,,,53,48,8,290.6401881167763,258.75321237664474,,,26.107495777027054,25.593216849662213,,0.0,0.0,0,3985,13.392417547795517,0.27069811951931033,Alvarães,Amazonas
139,141,2025-05-01,,,,108,53,49,303.48301295230266,290.6401881167763,,,26.040614442567573,26.107495777027054,,0.0,0.0,0,3985,13.392417547795517,0.27069811951931033,Alvarães,Amazonas
140,141,2025-06-01,,,,150,108,53,262.31907894736844,303.48301295230266,,,25.753425886824346,26.040614442567573,,0.0,0.0,0,3985,13.392417547795517,0.27069811951931033,Alvarães,Amazonas
141,141,2025-07-01,,,,331,150,48,196.6323884662829,262.31907894736844,,,25.517968750000023,25.753425886824346,,0.0,0.0,1,3985,13.392417547795517,0.27069811951931033,Alvarães,Amazonas
142,141,2025-08-01,,,,330,331,53,59.67063502261513,196.6323884662829,,,25.72634607263518,25.517968750000023,,-70.8520443564967,-1.3051625844594525,1,3985,13.392417547795517,0.27069811951931033,Alvarães,Amazonas
143,141,2025-09-01,,,,232,330,108,109.99118523848684,59.67063502261513,,,26.060383234797314,25.72634607263518,,0.0,0.0,0,3985,13.392417547795517,0.27069811951931033,Alvarães,Amazonas
144,141,2025-10-01,,,,184,232,150,164.317138671875,109.99118523848684,,,27.008678209459504,26.060383234797314,,0.0,0.0,0,3985,13.392417547795517,0.27069811951931033,Alvarães,Amazonas
145,141,2025-11-01,,,,93,184,331,182.884765625,164.317138671875,,,26.710377956081118,27.008678209459504,,0.0,0.0,0,3985,13.392417547795517,0.27069811951931033,Alvarães,Amazonas
146,141,2025-12-01,,,,47,93,330,244.63733552631578,182.884765625,,,26.513376266891896,26.710377956081118,,76.2198486328125,0.13786687077703164,0,3985,13.392417547795517,0.27069811951931033,Alvarães,Amazonas
147,142,2025-04-01,,,,206,99,1,262.37633338341345,371.73486328125,,,25.934821428571468,25.331061662946468,,0.0,0.0,0,97795,13.731526543577584,0.3216392930644018,Amaturá,Amazonas
148,142,2025-05-01,,,,291,206,7,332.58695162259613,262.37633338341345,,,25.974686104910745,25.934821428571468,,42.85145451472357,0.2825927734375,0,97795,13.731526543577584,0.3216392930644018,Amaturá,Amazonas
149,142,2025-06-01,,,,334,291,58,303.37796724759613,332.58695162259613,,,25.402420479910745,25.974686104910745,,0.0,0.0,0,97795,13.731526543577584,0.3216392930644018,Amaturá,Amazonas
150,142,2025-07-01,,,,611,334,99,162.53863055889423,303.37796724759613,,,25.167138671875023,25.402420479910745,,0.0,0.0,1,97795,13.731526543577584,0.3216392930644018,Amaturá,Amazonas
151,142,2025-08-01,,,,558,611,206,142.02850811298077,162.53863055889423,,,25.358021763392856,25.167138671875023,,0.0,0.0,1,97795,13.731526543577584,0.3216392930644018,Amaturá,Amazonas
152,142,2025-09-01,,,,173,558,291,102.39047475961539,142.02850811298077,,,25.60809151785719,25.358021763392856,,0.0,0.0,0,97795,13.731526543577584,0.3216392930644018,Amaturá,Amazonas
153,142,2025-10-01,,,,105,173,334,193.72284405048077,102.39047475961539,,,26.53240792410719,25.60809151785719,,0.0,0.0,0,97795,13.731526543577584,0.3216392930644018,Amaturá,Amazonas
154,142,2025-11-01,,,,69,105,611,178.44041090745193,193.72284405048077,,,26.340862165178578,26.53240792410719,,0.0,0.0,0,97795,13.731526543577584,0.3216392930644018,Amaturá,Amazonas
155,142,2025-12-01,,,,98,69,558,178.31300706129807,178.44041090745193,,,26.314599609375023,26.340862165178578,,0.0,0.0,0,97795,13.731526543577584,0.3216392930644018,Amaturá,Amazonas
156,146,2025-03-01,,,,85,84,1,371.76711593511453,258.3953661736641,,,24.94343971631207,25.77012411347522,,0.0,0.0,0,85564,17.757287052593846,0.2584025003972965,Atalaia do Norte,Amazonas
157,146,2025-04-01,,,,134,85,3,256.40845658396944,371.76711593511453,,,25.347495567375915,24.94343971631207,,0.0,0.0,0,85564,17.757287052593846,0.2584025003972965,Atalaia do Norte,Amazonas
158,146,2025-05-01,,,,243,134,173,276.28357585877865,256.40845658396944,,,25.465824468085145,25.347495567375915,,0.0,0.0,1,85564,17.757287052593846,0.2584025003972965,Atalaia do Norte,Amazonas
159,146,2025-06-01,,,,202,243,84,226.29031488549617,276.28357585877865,,,25.04335106382979,25.465824468085145,,0.0,0.0,0,85564,17.757287052593846,0.2584025003972965,Atalaia do Norte,Amazonas
160,146,2025-07-01,,,,256,202,85,93.32456911975191,226.29031488549617,,,24.77333776595748,25.04335106382979,,0.0,0.0,1,85564,17.757287052593846,0.2584025003972965,Atalaia do Norte,Amazonas
161,146,2025-08-01,,,,233,256,134,74.65670473520993,93.32456911975191,,,24.960150709219874,24.77333776595748,,0.0,0.0,0,85564,17.757287052593846,0.2584025003972965,Atalaia do Norte,Amazonas
162,146,2025-09-01,,,,139,233,243,85.02154401240458,74.65670473520993,,,25.43036347517733,24.960150709219874,,0.0,0.0,0,85564,17.757287052593846,0.2584025003972965,Atalaia do Norte,Amazonas
163,146,2025-10-01,,,,105,139,202,197.89020753816794,85.02154401240458,,,25.761214539007142,25.43036347517733,,0.0,0.0,0,85564,17.757287052593846,0.2584025003972965,Atalaia do Norte,Amazonas
164,146,2025-11-01,,,,75,105,256,181.92569179389312,197.89020753816794,,,25.43632535460995,25.761214539007142,,-5.597380427003827,-0.7004321808510667,0,85564,17.757287052593846,0.2584025003972965,Atalaia do Norte,Amazonas
165,146,2025-12-01,,,,48,75,233,203.90079317748092,181.92569179389312,,,25.58929521276599,25.43632535460995,,35.27787303196567,-0.09740691489361097,0,85564,17.757287052593846,0.2584025003972965,Atalaia do Norte,Amazonas
166,147,2025-04-01,,,,66,64,2,376.3103841145833,266.3700358072917,,,26.30243055555559,26.00208333333336,,0.0,0.0,1,90433,9.247037937538778,0.42158811311551375,Autazes,Amazonas
167,147,2025-05-01,,,,40,66,14,216.76898193359375,376.3103841145833,,,26.84796006944447,26.30243055555559,,0.0,0.0,0,90433,9.247037937538778,0.42158811311551375,Autazes,Amazonas
168,147,2025-06-01,,,,2,40,18,144.4477742513021,216.76898193359375,,,27.084244791666663,26.84796006944447,,0.0,0.0,0,90433,9.247037937538778,0.42158811311551375,Autazes,Amazonas
169,147,2025-07-01,,,,20,2,64,191.21004231770834,144.4477742513021,,,26.742534722222217,27.084244791666663,,0.0,0.0,0,90433,9.247037937538778,0.42158811311551375,Autazes,Amazonas
170,147,2025-08-01,,,,54,20,66,65.23314921061198,191.21004231770834,,,27.236848958333383,26.742534722222217,,0.0,0.0,0,90433,9.247037937538778,0.42158811311551375,Autazes,Amazonas
171,147,2025-09-01,,,,36,54,40,91.81221516927083,65.23314921061198,,,27.865147569444446,27.236848958333383,,0.0,0.0,0,90433,9.247037937538778,0.42158811311551375,Autazes,Amazonas
172,147,2025-10-01,,,,54,36,2,91.48006184895833,91.81221516927083,,,28.49006076388889,27.865147569444446,,0.0,0.0,0,90433,9.247037937538778,0.42158811311551375,Autazes,Amazonas
173,147,2025-11-01,,,,12,54,20,192.3427530924479,91.48006184895833,,,27.493945312500045,28.49006076388889,,0.0,0.0,0,90433,9.247037937538778,0.42158811311551375,Autazes,Amazonas
174,147,2025-12-01,,,,8,12,54,179.82071940104166,192.3427530924479,,,27.621006944444446,27.493945312500045,,111.29771423339844,-0.2365668402777601,0,90433,9.247037937538778,0.42158811311551375,Autazes,Amazonas
175,148,2025-02-01,,,,335,421,4,225.05674542682928,185.45302972560975,,,27.039417870036118,27.28276173285201,,-2.266263338414632,-1.0986292870036038,0,90374,8.042580286374065,0.4087082641771073,Barcelos,Amazonas
176,148,2025-03-01,,,,420,335,1,180.9205030487805,225.05674542682928,,,26.24372743682312,27.039417870036118,,0.0,0.0,0,90374,8.042580286374065,0.4087082641771073,Barcelos,Amazonas
177,148,2025-04-01,,,,322,420,16,209.7217606707317,180.9205030487805,,,26.63762409747295,26.24372743682312,,55.691549161585385,-0.5090252707581158,0,90374,8.042580286374065,0.4087082641771073,Barcelos,Amazonas
178,148,2025-05-01,,,,580,322,421,296.8361280487805,209.7217606707317,,,25.859420126353825,26.63762409747295,,0.0,0.0,1,90374,8.042580286374065,0.4087082641771073,Barcelos,Amazonas
179,148,2025-06-01,,,,398,580,335,296.0766768292683,296.8361280487805,,,25.66114620938629,25.859420126353825,,0.0,0.0,0,90374,8.042580286374065,0.4087082641771073,Barcelos,Amazonas
